Gene,GSM94019,GSM94020,GSM94021,GSM94022,GSM94023,GSM94024,GSM94025,GSM94026,GSM94027,GSM94028,GSM94029,GSM94030,GSM94031,GSM94032,GSM94033,GSM94034,GSM94035,GSM94036,GSM94037,GSM94038,GSM94039,GSM94040,GSM94041,GSM94042,GSM94043,GSM94044,GSM94045,GSM94046,GSM94047,GSM94048,GSM94049,GSM94050,GSM94051,GSM94052,GSM94053,GSM94054,GSM94055,GSM94056,GSM94057,GSM94058,GSM94059,GSM94060,GSM94061,GSM94062,GSM94063,GSM94064,GSM94065,GSM94066,GSM94067,GSM94068,GSM94069,GSM94070,GSM94071,GSM94072,GSM94073,GSM94074,GSM94075,GSM94155,GSM94156,GSM94157,GSM94160,GSM94161,GSM94162,GSM94163,GSM94164,GSM94165,GSM94166,GSM94167,GSM94168,GSM94169,GSM94170,GSM94171,GSM94172,GSM94173,GSM94174,GSM94175,GSM94176,GSM94177,GSM94178,GSM98767,GSM98768,GSM98769,GSM98770,GSM98771,GSM98772,GSM98773,GSM98774,GSM98775,GSM98776,GSM98777,GSM98778,GSM98779,GSM98780,GSM98781,GSM98782,GSM98783,GSM98784
CFL1,11.8436,11.5841,11.4681,11.8198,11.8655,11.674,11.3236,12.0809,11.4745,11.0888,11.8826,11.421,11.7011,12.1135,11.5736,11.5474,11.6117,11.7345,11.6497,11.5766,11.4335,11.6166,11.65,11.9006,11.5887,11.4215,11.7916,11.4426,11.5896,11.6447,11.6026,11.4205,11.9447,11.5934,10.5337,12.1322,11.7668,11.9332,10.3836,11.4774,12.1984,11.1597,11.6172,12.1829,11.2429,11.0104,11.6947,11.7396,12.0902,11.4426,11.7047,11.0917,11.9733,10.9577,11.7876,11.2697,11.5425,11.8992,10.8728,12.0692,11.8562,11.9281,11.714,11.7459,11.4794,11.6761,12.1522,11.5577,11.5883,11.3236,12.1049,11.5175,11.4381,11.9307,11.7999,11.7144,11.9162,11.8465,11.6376,11.8008,11.8442,11.5865,11.4907,12.0272,11.5733,11.5426,11.7783,11.8391,11.4525,11.717,11.9038,11.8492,12.0001,11.6032,11.9161,11.5976,12.1173
CNPPD1,6.82515,7.0524,6.25812,6.75384,6.3019,6.40776,6.45853,6.55815,6.51554,6.25392,6.43755,5.95465,6.58048,6.30033,6.46829,6.46212,6.14772,6.07565,6.1853,7.22807,7.2359,6.27076,6.65394,7.59305,7.24165,6.81846,6.19111,6.08638,6.84631,6.75352,6.34145,6.24863,6.4547,6.70281,6.37128,6.16321,6.33852,6.59501,5.96567,6.68599,6.44293,7.08649,6.39868,6.62376,6.62761,5.75248,6.35551,7.24967,6.42982,6.22079,5.95174,5.97219,6.68717,6.48033,6.21065,6.2827,6.95963,6.27547,6.7627,6.5932,6.43858,6.92402,6.22867,7.40795,6.47084,6.31693,6.56411,6.47138,6.77613,6.67357,6.51811,6.49663,6.13783,6.81412,6.51451,6.55127,6.58364,6.70851,6.55674,6.79234,6.0252,6.54223,5.81808,6.93975,6.5626,6.53873,6.96227,6.58871,6.54862,6.80995,6.42052,6.19741,6.37369,6.45657,6.59459,5.996,6.77464
CTDNEP1,8.01377,8.05694,7.89309,7.97716,7.82985,7.94505,8.06755,7.88729,7.88402,7.76261,7.77639,8.41764,7.70953,8.0925,8.10805,7.8905,7.82343,7.81168,7.99873,8.21476,8.10987,8.02613,8.29944,8.35455,8.04756,8.08972,7.8622,7.81466,7.88704,8.264,8.1287,7.58146,8.09377,8.19617,7.35205,7.81132,7.5502,7.90113,6.6048,8.14495,7.67953,7.5534,7.85999,7.77146,8.34272,7.40063,7.9649,7.9961,8.27556,8.07655,7.85814,7.45578,7.93976,8.04388,7.86066,7.73617,8.05082,7.72128,8.11515,8.1789,7.98112,8.27686,7.98097,8.25855,8.00962,7.96071,7.95082,7.82742,8.16509,8.18896,8.01976,7.87899,7.57655,8.0436,7.90192,8.27943,8.13406,8.18248,8.14818,8.15796,7.73773,8.23421,7.93607,8.48862,7.83306,7.91517,8.29581,7.90237,8.30722,8.14787,8.45131,8.0454,8.11312,7.92792,7.73259,8.01011,8.35402
CYP2A6,6.45376,6.18169,5.9684,6.27254,6.56567,6.29945,5.95085,6.3452,6.11985,6.64425,6.15423,5.9448,6.52793,6.12174,6.34608,6.45842,6.22898,6.2346,6.51399,6.68983,6.53431,6.0363,6.38792,6.07847,6.23089,6.45954,5.80485,5.85747,5.95596,6.31926,5.92043,5.8301,6.18808,6.26116,6.15699,5.56339,5.59158,6.6242,6.73001,5.67287,5.57144,6.43165,6.12799,6.3514,6.62802,6.5846,5.82371,6.21562,6.38828,6.57862,5.72345,6.33951,5.49577,6.17329,6.08527,6.11293,6.5822,5.65774,6.65443,5.70681,5.48146,5.98445,6.41246,6.22053,6.47792,6.53984,5.58635,6.41857,6.21047,6.87761,5.50805,5.65362,6.01568,6.23563,5.98203,6.17876,6.13722,6.21661,8.32539,6.59243,5.92822,6.67969,6.23909,6.77276,6.52583,5.84618,6.10289,5.74056,6.28807,6.09677,5.95025,6.30469,5.81242,6.36651,5.64092,6.4203,5.99226
CYP2E1,4.48763,4.35531,4.18549,4.65823,4.47962,4.58822,4.3832,5.07711,4.52515,4.99886,4.57049,4.914,4.97992,4.49477,4.95559,4.37089,4.69636,4.66376,4.4585,4.7026,4.56149,4.61114,4.05496,4.79593,4.33843,4.18132,4.332,4.37104,4.12507,3.95674,4.42084,3.93129,4.36086,4.03687,4.85364,4.20484,3.92951,4.28304,4.35252,4.15117,4.14663,4.70383,4.00283,4.74158,4.24682,4.50138,4.10249,4.15096,4.16396,4.39833,3.85832,4.33479,3.88514,4.09303,4.17881,4.16907,3.99314,3.917,5.54323,4.59075,4.05074,4.08412,4.38933,4.55045,4.24983,4.31019,4.2474,4.65934,4.42478,4.30366,4.24801,4.32739,4.10555,4.64482,4.08146,4.51295,4.19505,4.37814,4.38224,3.96117,4.17848,4.23335,4.42782,4.42471,4.30913,4.66253,4.53074,4.28244,4.36407,4.57635,4.47118,4.14825,4.22634,4.55194,4.00478,4.36249,4.4348
DAD1,8.15274,7.26293,8.99126,8.77474,9.0112,8.43139,9.40199,7.98683,9.06946,6.03959,8.57778,9.10168,8.16831,8.30272,8.01094,9.0725,8.26806,8.52836,9.0952,7.72154,6.7235,8.9778,9.14704,7.90356,8.40899,7.86964,9.08608,9.0498,8.34995,9.4151,9.22631,9.02594,8.73498,9.39216,6.12366,8.72211,9.12284,8.94761,7.61159,9.4622,9.46107,6.73614,9.25839,6.47737,8.84038,6.64725,8.94564,7.59602,8.99084,7.55727,9.01537,7.0039,9.05906,9.18179,8.66888,9.33172,9.15067,8.84103,6.6362,8.6484,9.45774,8.86222,8.96184,7.55813,9.23048,9.00946,9.10573,8.27931,9.40296,9.03905,9.08597,9.2206,9.21204,7.82084,8.7422,8.33929,8.60887,8.38248,7.83007,8.69505,8.87383,8.42162,9.01365,7.96099,8.62948,8.96468,8.92889,9.01644,8.86924,8.58293,8.86205,9.24903,8.95943,8.45733,9.14628,8.74731,9.40209
DDR1,10.3704,9.41573,10.1329,10.0533,10.3453,10.3128,9.88962,9.46184,10.0992,8.31227,10.0899,10.1098,9.64085,10.1042,9.8878,9.88987,9.2034,10.4044,10.1373,8.87287,8.2235,10.4489,10.0936,9.01783,9.31377,9.15032,9.88378,9.8262,9.38572,9.99398,10.2071,10.1585,10.3775,9.96093,6.67024,10.3334,10.4039,9.47536,8.04416,10.0474,9.83338,7.36267,10.2051,6.98379,9.64396,8.88259,10.3881,8.87733,10.5376,9.20188,10.5054,7.68389,10.2579,9.56883,10.1584,10.1563,10.3709,9.71886,6.99532,10.166,10.1666,10.4013,10.3789,9.46012,10.2747,10.4136,10.2428,9.59614,10.1554,9.67734,10.4521,10.1379,10.1192,9.46933,9.86813,10.1446,10.0881,10.2799,9.6109,10.2572,9.80906,10.6358,10.1393,9.77423,10.3957,9.95185,10.2476,10.2347,10.1009,9.94464,10.2124,10.6042,10.1529,10.0238,10.3673,10.465,10.6794
DDX39B,9.32699,8.47922,9.56802,8.98274,9.75075,9.28278,9.33969,8.85331,9.00191,7.42877,8.9826,9.02423,8.49243,9.21168,9.25618,9.29684,8.56933,9.03368,9.20524,8.5184,8.21857,9.35669,9.59135,8.52817,9.23757,8.93514,8.90434,9.28626,9.07961,9.58265,9.48919,9.53315,9.16136,9.52689,6.02767,9.56858,9.22335,9.34505,7.46527,9.24893,8.81361,7.18706,9.36215,7.39592,9.23316,7.04246,9.32818,7.92227,9.09722,7.75786,9.76491,7.13774,9.46553,8.80107,9.24057,9.4604,9.36767,9.51369,7.0394,9.63453,9.32072,9.25257,9.43812,9.24614,9.35005,9.00157,9.40788,8.87409,9.46261,9.13792,9.28263,9.33522,9.33611,9.0454,9.07755,9.08926,9.63368,9.11609,8.47487,9.36293,9.25982,8.84968,8.88021,9.59085,9.27055,8.89473,9.56569,9.56057,9.72395,9.20676,9.18562,9.24506,9.40468,9.18431,9.64317,9.08569,9.1549
DDX5,10.1888,7.72641,10.495,9.7961,9.94552,9.9581,9.91124,9.53617,10.0961,5.50333,10.0706,10.0033,8.23261,9.87415,9.22994,10.1374,9.53314,10.298,10.2936,6.74186,5.42874,9.65445,9.90042,6.66198,7.93996,7.9454,9.50783,10.0584,9.15136,9.90033,9.17361,10.1521,9.20443,9.96084,6.42057,9.86012,9.66564,9.55616,8.41267,9.80248,9.9324,5.69441,10.0066,5.97562,9.60855,7.70755,9.82201,6.76599,9.74848,6.88554,10.6018,5.69857,10.3999,9.54131,10.1188,9.89468,10.1921,9.731,5.014,9.77696,9.69123,9.69643,9.48219,8.01048,10.0905,9.80116,9.46425,8.84019,10.0055,9.59056,9.56185,9.73636,10.1214,8.54196,9.8895,9.35768,9.78627,9.80382,7.55502,10.375,10.5155,9.07182,9.97838,8.53332,9.84492,9.56531,9.36703,10.2178,9.8946,9.44195,9.66012,10.0924,9.9416,9.40238,10.1216,10.1256,9.70204
DTX2P1-UPK3BP1-PMS2P11,6.07906,5.32908,6.18184,6.14851,6.17949,5.94535,5.88826,5.32111,5.77345,5.6737,6.09673,5.90883,5.91329,6.11952,5.79075,5.7972,5.72347,6.22224,6.00432,6.1052,5.56515,6.16505,5.90947,5.08897,6.01173,5.75867,5.91873,6.23479,5.50536,5.84705,5.76155,5.80915,5.98029,5.94352,4.72039,6.7127,6.06334,5.84529,5.4819,5.77261,5.73844,5.39373,5.81781,5.72405,5.61481,4.89366,5.72098,5.21818,6.05902,5.32716,6.52008,5.67104,5.95818,5.57359,5.80902,6.12234,5.7861,6.23888,5.06288,5.86555,5.90389,5.75506,6.00982,5.67914,5.89373,6.19056,5.95725,5.56609,5.98675,5.33182,5.90753,6.00862,6.00611,5.61722,5.66613,5.95308,5.80015,5.99115,5.50828,6.54179,5.85022,5.97868,6.30546,6.02231,6.14257,5.80183,6.21697,6.1122,5.80818,5.87556,6.32824,6.49595,6.01394,5.76598,6.19868,6.43798,6.13628
